Atributo 1,Atributo 2,Atributo 3,Atributo 4,Categoria
325.635,223.475,89.39,12.77,Grupo B
312.865,191.55,89.39,12.77,Grupo B
300.095,204.32,83.00500000000001,12.77,Grupo B
293.71,197.935,95.775,12.77,Grupo B
319.25,229.86,89.39,12.77,Grupo B
344.79,249.015,108.545,25.540000000000003,Grupo B
293.71,217.09,89.39,19.155,Grupo B
319.25,217.09,95.775,12.77,Grupo B
280.94000000000005,185.165,89.39,12.77,Grupo B
312.865,197.935,95.775,6.385000000000001,Grupo B
344.79,236.245,95.775,12.77,Grupo B
306.48,217.09,102.16,12.77,Grupo B
306.48,191.55,89.39,6.385000000000001,Grupo B
274.555,191.55,70.23500000000001,6.385000000000001,Grupo B
370.33,255.4,76.62,12.77,Grupo B
363.945,280.94000000000005,95.775,25.540000000000003,Grupo B
344.79,249.015,83.00500000000001,25.540000000000003,Grupo B
325.635,223.475,89.39,19.155,Grupo B
363.945,242.63,108.545,19.155,Grupo B
325.635,242.63,95.775,19.155,Grupo B
344.79,217.09,108.545,12.77,Grupo B
325.635,236.245,95.775,25.540000000000003,Grupo B
293.71,229.86,63.85,12.77,Grupo B
325.635,210.705,108.545,31.925,Grupo B
306.48,217.09,121.315,12.77,Grupo B
319.25,191.55,102.16,12.77,Grupo B
319.25,217.09,102.16,25.540000000000003,Grupo B
332.02000000000004,223.475,95.775,12.77,Grupo B
332.02000000000004,217.09,89.39,12.77,Grupo B
300.095,204.32,102.16,12.77,Grupo B
306.48,197.935,102.16,12.77,Grupo B
344.79,217.09,95.775,25.540000000000003,Grupo B
332.02000000000004,261.785,95.775,6.385000000000001,Grupo B
351.175,268.17,89.39,12.77,Grupo B
312.865,197.935,95.775,12.77,Grupo B
319.25,204.32,76.62,12.77,Grupo B
351.175,223.475,83.00500000000001,12.77,Grupo B
312.865,229.86,89.39,6.385000000000001,Grupo B
280.94000000000005,191.55,83.00500000000001,12.77,Grupo B
325.635,217.09,95.775,12.77,Grupo B
319.25,223.475,83.00500000000001,19.155,Grupo B
287.325,146.855,83.00500000000001,19.155,Grupo B
280.94000000000005,204.32,83.00500000000001,12.77,Grupo B
319.25,223.475,102.16,38.31,Grupo B
325.635,242.63,121.315,25.540000000000003,Grupo B
306.48,191.55,89.39,19.155,Grupo B
325.635,242.63,102.16,12.77,Grupo B
293.71,204.32,89.39,12.77,Grupo B
338.405,236.245,95.775,12.77,Grupo B
319.25,210.705,89.39,12.77,Grupo B
446.95,204.32,300.095,89.39,Grupo A
408.64,204.32,287.325,95.775,Grupo A
440.56500000000005,197.935,312.865,95.775,Grupo C
351.175,146.855,255.4,83.00500000000001,Grupo A
415.025,178.78,293.71,95.775,Grupo A
363.945,178.78,287.325,83.00500000000001,Grupo A
402.255,210.705,300.095,102.16,Grupo A
312.865,153.24,210.705,63.85,Grupo A
421.41,185.165,293.71,83.00500000000001,Grupo A
332.02000000000004,172.395,249.015,89.39,Grupo A
319.25,127.7,223.475,63.85,Grupo A
376.715,191.55,268.17,95.775,Grupo A
383.1,140.47000000000003,255.4,63.85,Grupo A
389.485,185.165,300.095,89.39,Grupo A
357.56,185.165,229.86,83.00500000000001,Grupo A
427.795,197.935,280.94000000000005,89.39,Grupo A
357.56,191.55,287.325,95.775,Grupo A
370.33,172.395,261.785,63.85,Grupo A
395.87,140.47000000000003,287.325,95.775,Grupo A
357.56,159.625,249.015,70.23500000000001,Grupo A
376.715,204.32,306.48,114.93,Grupo A
